,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.9919370989004771,0.6256333333333334,4.572406768798828,5.0755774974823,0.01,1000,1,cuda,not_normal
1,1,2,0.5490862399339675,0.7856333333333333,4.6067681312561035,9.72593879699707,0.01,1000,1,cuda,not_normal
2,1,3,0.4662568802634875,0.8274666666666667,4.59612512588501,14.365213871002197,0.01,1000,1,cuda,not_normal
3,1,4,0.40824206471443175,0.8502333333333333,4.547924280166626,18.956721305847168,0.01,1000,1,cuda,not_normal
4,1,5,0.36118483195702233,0.8674833333333334,4.467438697814941,23.468920469284058,0.01,1000,1,cuda,not_normal
5,1,6,0.3425686851143837,0.8742166666666666,4.417886018753052,27.930042266845703,0.01,1000,1,cuda,not_normal
6,1,7,0.32574149668216706,0.8816333333333334,4.440346956253052,32.414896726608276,0.01,1000,1,cuda,not_normal
7,1,8,0.31012643277645113,0.8861333333333333,4.39653468132019,36.85605597496033,0.01,1000,1,cuda,not_normal
8,1,9,0.2980084501206875,0.88985,4.473085880279541,41.373191595077515,0.01,1000,1,cuda,not_normal
9,1,10,0.28910397390524545,0.8936666666666667,4.545705080032349,45.963056564331055,0.01,1000,1,cuda,not_normal
10,1,11,0.28243922914067904,0.8959,4.510740041732788,50.51803469657898,0.01,1000,1,cuda,not_normal
11,1,12,0.27832636336485544,0.8973666666666666,4.403134107589722,54.96690797805786,0.01,1000,1,cuda,not_normal
12,1,13,0.27493657494584717,0.8989,4.45096492767334,59.46333599090576,0.01,1000,1,cuda,not_normal
13,1,14,0.2762090797225634,0.8963833333333333,4.6616106033325195,64.16907477378845,0.01,1000,1,cuda,not_normal
14,1,15,0.26872952505946157,0.9008166666666667,4.6669769287109375,68.88122296333313,0.01,1000,1,cuda,not_normal
15,1,16,0.25816106299559277,0.9032166666666667,4.664978504180908,73.59207487106323,0.01,1000,1,cuda,not_normal
16,1,17,0.24881993507345518,0.9064166666666666,4.655392169952393,78.2909746170044,0.01,1000,1,cuda,not_normal
17,1,18,0.25350410863757133,0.9043833333333333,4.729282379150391,83.06614637374878,0.01,1000,1,cuda,not_normal
18,1,19,0.24510360807180404,0.9085333333333333,4.593129634857178,87.7108826637268,0.01,1000,1,cuda,not_normal
19,1,20,0.23981934462984403,0.9100166666666667,4.676514148712158,92.44055819511414,0.01,1000,1,cuda,not_normal
20,2,1,0.8556800484657288,0.67515,6.763011932373047,7.237030029296875,0.01,1000,1,cuda,normal
21,2,2,0.474565297861894,0.8218666666666666,6.730713844299316,14.014654159545898,0.01,1000,1,cuda,normal
22,2,3,0.3924565941095352,0.85485,6.850915431976318,20.910685539245605,0.01,1000,1,cuda,normal
23,2,4,0.34560223122437794,0.87245,6.844213247299194,27.801738739013672,0.01,1000,1,cuda,normal
24,2,5,0.32163894722859065,0.8807333333333334,6.823410987854004,34.67213487625122,0.01,1000,1,cuda,normal
25,2,6,0.30946794152259827,0.8854333333333333,6.932526111602783,41.65108323097229,0.01,1000,1,cuda,normal
26,2,7,0.2967117468516032,0.8899666666666667,6.794810771942139,48.49184489250183,0.01,1000,1,cuda,normal
27,2,8,0.2890565611422062,0.8928666666666667,6.864964246749878,55.41592860221863,0.01,1000,1,cuda,normal
28,2,9,0.2810384273529053,0.89495,6.956895351409912,62.41912245750427,0.01,1000,1,cuda,normal
29,2,10,0.26922487566868464,0.9003666666666666,7.133350133895874,69.60936570167542,0.01,1000,1,cuda,normal
30,2,11,0.2632130275170008,0.9017666666666667,7.15865683555603,76.84892559051514,0.01,1000,1,cuda,normal
31,2,12,0.25246067543824513,0.9055666666666666,7.045487880706787,83.98217535018921,0.01,1000,1,cuda,normal
32,2,13,0.2429604137937228,0.9081,6.96244740486145,91.01979923248291,0.01,1000,1,cuda,normal
33,2,14,0.2388855387767156,0.9095666666666666,6.917352676391602,97.98352599143982,0.01,1000,1,cuda,normal
34,2,15,0.24093854079643887,0.9089166666666667,6.8084259033203125,104.83845567703247,0.01,1000,1,cuda,normal
35,2,16,0.2476953608294328,0.9058,6.7377166748046875,111.62356567382812,0.01,1000,1,cuda,normal
36,2,17,0.23502417008082072,0.91025,6.770136594772339,118.44297909736633,0.01,1000,1,cuda,normal
37,2,18,0.23177782247463863,0.9123333333333333,6.8884172439575195,125.41394138336182,0.01,1000,1,cuda,normal
38,2,19,0.23166433026393254,0.9119166666666667,6.878508806228638,132.34330201148987,0.01,1000,1,cuda,normal
39,2,20,0.22340433274706203,0.91455,6.728842258453369,139.11963438987732,0.01,1000,1,cuda,normal
